rowid,pl_letter,pl_pnum,pl_orbper,pl_bmassj,pl_radj,pl_ttvflag,ra,dec,st_optmag,st_teff,st_mass,st_rad
3043,b,1,8.03755877,,0.119,FALSE,297.132641,42.768253,14.471,5241,0.86,0.81
3044,b,1,1.9214374,,0.122,FALSE,296.952062,43.271969,14.131,5331,0.87,0.84
3045,b,1,14.20443009,,0.219,FALSE,289.568659,43.538612,15.469,5346,0.87,0.84
3046,b,1,55.6738309,,0.186,FALSE,290.288467,43.755322,15.061,5001,0.81,0.77
3047,b,1,4.88083852,,0.12,FALSE,295.021668,46.619217,14.925,4830,0.78,0.73
3048,b,1,10.56134221,,0.129,FALSE,293.577759,46.736347,14.581,5482,0.92,0.89
3049,b,2,67.668827,,0.332,FALSE,294.168805,46.714611,15.224,6095,1.15,1.22
3050,c,2,153.343364,,0.238,FALSE,294.168805,46.714611,15.224,6095,1.15,1.22
3051,b,1,52.6298417,,0.198,FALSE,294.789143,46.98399,15.004,5533,0.92,0.89
3052,b,1,14.878296,,0.156,FALSE,293.865613,47.026829,15.534,5471,0.88,0.85
3053,b,2,2.50806,0.034,0.313,FALSE,281.194747,47.497148,12.895,4781,0.81,0.76
3054,c,2,820.3,9.836,,FALSE,281.194747,47.497148,12.895,4781,0.81,0.76
3055,b,1,59.6225257,,0.298,FALSE,294.241293,47.275982,15.517,5769,0.97,0.96
3056,b,1,17.42395198,,0.275,FALSE,294.326356,47.217613,15.601,5539,0.89,0.86
3057,b,1,44.96417488,,0.19,FALSE,294.955114,44.149818,13.054,4861,0.81,0.75
3058,b,1,49.7701438,,0.529,FALSE,284.273965,41.535023,15.64,5612,0.93,0.91
3059,b,1,43.3167737,,0.235,FALSE,293.601262,42.379761,15.737,5409,0.86,0.83
3060,b,1,31.0033814,,0.235,FALSE,291.269748,42.096046,15.898,5718,0.97,0.97
3061,b,1,11.79162572,,0.172,FALSE,300.929606,44.02879,14.941,5665,0.94,0.93
3062,b,1,26.9644317,,0.203,FALSE,294.366727,42.252678,15.789,5508,0.9,0.87
3063,b,1,7.76846622,,0.165,FALSE,293.300231,41.523338,14.8,5679,0.96,0.94
3064,b,1,8.6893073,,0.26,FALSE,298.607876,46.453682,14.548,5403,0.89,0.86
3065,b,1,11.5231,0.041,0.305,FALSE,284.482459,44.398037,12.346,5699,1.08,1.41
3066,b,1,98.7180406,,0.801,FALSE,287.956566,41.130329,15.7,5857,1.02,1.02
3067,b,1,71.52530845,,0.499,FALSE,287.73756,38.114567,14.521,4834,0.77,0.73
3068,b,1,130.3546919,,0.682,FALSE,285.371949,41.993912,15.254,5730,1,0.99
